Country,Agglomeration 0me (in English),Nr Inhabitants,Area (km2),55-59,60-64,65-69,70-74,>75,Percentages
Germany,Augsburg,266647,147,18000,15400,9700,1200,0,16.61372526
Germany,Erlangen,106326,77,16400,10800,5400,1400,100,31.97712695
Germany,Furth,116317,63,9200,7500,5900,1700,100,20.8911853
Germany,Ingolstadt,126732,133,25600,10800,4000,200,0,32.03610769
Germany,Munich,1378176,311,95000,69400,66400,21900,1500,18.33582939
Germany,Nuremberg,510602,187,43100,26400,23700,18300,2500,21.83696891
Germany,Regensburg,136577,81,14100,9000,5100,1200,0,21.52631849
Germany,Wurzburg,133808,88,16000,10000,5000,1800,500,24.51273466
Germany,Berlin,3460725,892,223200,170900,160700,104200,5500,19.04225271
Germany,Potsdam,161468,188,13100,10400,5700,1300,200,18.88919167
Germany,Bremen,549000,317,56300,34000,18500,4300,100,20.6010929
Germany,Bremerhaven,109000,94,8900,7300,6000,2500,0,22.66055046
Germany,Hamburg,1896342,1045,170400,130400,89100,25800,300,21.92115135
Germany,Darmstadt,149743,122,11600,9000,7900,2700,0,20.8356985
Germany,Frankfurt,701350,248,61900,39200,31400,19000,3600,21.60119769
Germany,Kassel,194087,107,10600,8000,4900,3700,300,14.01433378
Germany,Offenbach,119203,45,7500,5500,6200,6100,1100,21.22429805
Germany,Wiesbaden,273871,204,19400,13500,11300,6100,600,18.36631115
Germany,Rostock,203431,169,12000,6700,2400,400,0,10.56869405
Germany,Braunschweig,250556,193,24500,13500,7800,1800,0,18.99774901
Germany,Gottingen,121364,117,13100,7800,3700,400,0,20.59918922
Germany,Hannover,525875,204,41100,30800,20400,4600,400,18.42643214
Germany,Oldenburg,162481,103,22700,11000,3400,100,0,22.89498464
Germany,Os0bruck,165021,120,14200,10700,10100,3400,200,23.26976567
Germany,Aachen,240484,161,31000,26700,16000,11700,1300,35.51171804
Germany,Bergisch Gladbach,109678,83,9800,7300,4200,1000,0,20.3322453
Germany,Bielefeld,328965,259,39300,27400,17700,6100,300,27.51052544
Germany,Bochum,361390,146,61000,39200,19000,5300,100,34.45031683
Germany,Bonn,312207,141,27100,20700,13000,5000,1000,21.07576063
Germany,Bottrop,115780,101,17700,12600,6000,600,0,31.87078943
Germany,Cologne,1039488,405,116300,91900,78300,24000,700,29.8704747
Germany,Dortmund,578236,281,93000,57400,26500,8300,200,32.02844513
Germany,Duisburg,485580,233,57600,36900,21900,5100,100,25.02162363
Germany,Dusseldorf,601074,217,129400,79600,51700,13600,200,45.63498005
Germany,Essen,570827,210,57100,36700,33400,25900,11200,26.82073553
Germany,Gelsenkirchen,258290,105,31600,18500,12300,5100,500,26.13341593
Germany,Hagen,185823,160,42300,34000,22600,14300,9800,60.91818559
Germany,Herne,154507,51,27200,17200,9000,1100,0,35.27348275
Germany,Krefeld,222424,138,23100,14900,10400,2900,0,23.06405784
Germany,Leverkusen,161065,79,32700,16700,9200,1700,0,37.43830131
Germany,Moers,102935,68,17800,7000,3300,600,0,27.8816729
Germany,Monchengladbach,255975,170,27600,24700,26200,4200,0,32.30784256
Germany,Mulheim an der Ruhr,166769,91,19500,16300,9400,1100,0,27.76295355
Germany,Munster,300149,303,22200,13900,10400,2800,200,16.4251755
Germany,Neuss,152256,100,36000,19200,8500,900,0,42.4285414
Germany,Oberhausen,209210,77,30200,20800,11000,1000,0,30.1132833
Germany,Recklinghausen,114523,66,15800,9500,6600,2800,0,30.29959048
Germany,Remscheid,109024,75,4100,3800,4000,1300,0,12.10742589
Germany,Solingen,156369,90,6600,8400,8100,2000,0,16.05177497
Germany,Wuppertal,343494,168,25700,19000,19300,13000,1200,22.41669432
Germany,Koblenz,109922,105,8400,4800,4200,1200,100,16.9210895
Germany,Ludwigshafen,165362,78,16300,11600,9300,3200,100,24.43124781
