"","Country","Depression %","Anxiety %","Eating Disorder %","Bipolar Disorder %","Schizophrenia %","Total Population","Measured Population","Area","55-59","60-64","65-69","70-74","75+","55-59 %","60-64 %","65-69 %","70-74 %","75+ %","Exposed to any noise %","Exposed to any noise % of total population","% measured popultaion","Avreage Years in School","Gini Index","Temperature"
"11","France",4.22,6.91,0.51,1,0.3,66918020,9360200,3202.55,2646100,2096000,1641100,442800,27100,28.2696950919852,22.3926839170103,17.5327450268157,4.73066814811649,0.289523728125467,73.2153159120532,10.2410382136232,13.9875626923809,11.41,31.6,4.35
"12","France",4.22,6.91,0.51,1,0.3,66918020,9360200,3202.55,2646100,2096000,1641100,442800,27100,28.2696950919852,22.3926839170103,17.5327450268157,4.73066814811649,0.289523728125467,73.2153159120532,10.2410382136232,13.9875626923809,11.41,31.6,4.34
"13","Germany",3.8,6.81,0.46,0.82,0.29,82657002,24417288,12289,2372900,1642300,1183500,466900,51500,9.71811447692307,6.72597218822991,4.84697563464051,1.91216977086071,0.210916134502734,23.4141482051569,6.91665540930217,29.5404955529357,14.11,31.2,5.15
"14","Germany",3.8,6.81,0.46,0.82,0.29,82657002,24417288,12289,2372900,1642300,1183500,466900,51500,9.71811447692307,6.72597218822991,4.84697563464051,1.91216977086071,0.210916134502734,23.4141482051569,6.91665540930217,29.5404955529357,14.11,31.2,-2
"15","Iceland",3.19,5.6,0.49,1,0.31,343400,267850,1196,33300,16100,5300,1400,100,12.4323315288408,6.01082695538548,1.9787194325182,0.522680604816128,0.0373343289154377,20.981892850476,16.3657542224811,77.9994175888177,13.46,26.1,6
"16","Iceland",3.19,5.6,0.49,1,0.31,343400,267850,1196,33300,16100,5300,1400,100,12.4323315288408,6.01082695538548,1.9787194325182,0.522680604816128,0.0373343289154377,20.981892850476,16.3657542224811,77.9994175888177,13.46,26.1,-2.01
"17","Iceland",3.19,5.6,0.49,1,0.31,343400,267850,1196,33300,16100,5300,1400,100,12.4323315288408,6.01082695538548,1.9787194325182,0.522680604816128,0.0373343289154377,20.981892850476,16.3657542224811,77.9994175888177,13.46,26.1,5
"18","Ireland",4.68,7.9,0.49,0.77,0.4,4807388,1499800,1122,320700,147200,158600,55400,4500,21.3828510468062,9.8146419522603,10.5747432991065,3.69382584344579,0.300040005334045,45.7661021469529,14.2780237417908,31.1978146968791,11.43,31.4,6.6
"19","Ireland",4.68,7.9,0.49,0.77,0.4,4807388,1499800,1122,320700,147200,158600,55400,4500,21.3828510468062,9.8146419522603,10.5747432991065,3.69382584344579,0.300040005334045,45.7661021469529,14.2780237417908,31.1978146968791,11.43,31.4,9
"20","Ireland",4.68,7.9,0.49,0.77,0.4,4807388,1499800,1122,320700,147200,158600,55400,4500,21.3828510468062,9.8146419522603,10.5747432991065,3.69382584344579,0.300040005334045,45.7661021469529,14.2780237417908,31.1978146968791,11.43,31.4,10
"21","Ireland",4.68,7.9,0.49,0.77,0.4,4807388,1499800,1122,320700,147200,158600,55400,4500,21.3828510468062,9.8146419522603,10.5747432991065,3.69382584344579,0.300040005334045,45.7661021469529,14.2780237417908,31.1978146968791,11.43,31.4,10
"22","Italy",3.78,5.98,0.59,0.96,0.31,60536709,13694275,8809.99,2461500,2901300,2139800,900700,126100,17.9746645952414,21.1862256307837,15.6255077395481,6.57720105664593,0.920822752573612,62.2844217747928,14.0896327879337,22.6214394971487,10.48,35.9,3
"23","Italy",3.78,5.98,0.59,0.96,0.31,60536709,13694275,8809.99,2461500,2901300,2139800,900700,126100,17.9746645952414,21.1862256307837,15.6255077395481,6.57720105664593,0.920822752573612,62.2844217747928,14.0896327879337,22.6214394971487,10.48,35.9,7
