Country Name,Country Code,Indicator Name,Indicator Code,2017
Togo,TGO,"Population, total",SP.POP.TOTL,7852795
Thailand,THA,"Population, total",SP.POP.TOTL,70898202
Tajikistan,TJK,"Population, total",SP.POP.TOTL,8925525
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,5968383
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, total",SP.POP.TOTL,617875842
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,1243235
Middle East & North Africa (IDA & IBRD countries),TMN,"Population, total",SP.POP.TOTL,387152617
Tonga,TON,"Population, total",SP.POP.TOTL,105415
South Asia (IDA & IBRD),TSA,"Population, total",SP.POP.TOTL,1818868706
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Population, total",SP.POP.TOTL,1063885000
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1478607
Tunisia,TUN,"Population, total",SP.POP.TOTL,11811443
Turkiye,TUR,"Population, total",SP.POP.TOTL,82089826
Tuvalu,TUV,"Population, total",SP.POP.TOTL,10828
Tanzania,TZA,"Population, total",SP.POP.TOTL,56267032
Uganda,UGA,"Population, total",SP.POP.TOTL,40127085
Ukraine,UKR,"Population, total",SP.POP.TOTL,44831135
Upper middle income,UMC,"Population, total",SP.POP.TOTL,2453799496
Uruguay,URY,"Population, total",SP.POP.TOTL,3422200
United States,USA,"Population, total",SP.POP.TOTL,325122128
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,32388600
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,105549
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,30563433
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,30060
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,107281
Vietnam,VNM,"Population, total",SP.POP.TOTL,94033048
Vanuatu,VUT,"Population, total",SP.POP.TOTL,290239
World,WLD,"Population, total",SP.POP.TOTL,7578157615
Samoa,WSM,"Population, total",SP.POP.TOTL,207630
Kosovo,XKX,"Population, total",SP.POP.TOTL,1791003
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,30034389
South Africa,ZAF,"Population, total",SP.POP.TOTL,56641209
Zambia,ZMB,"Population, total",SP.POP.TOTL,17298054
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,14751101
