"","Country","Depression %","Anxiety %","Eating Disorder %","Bipolar Disorder %","Schizophrenia %","Total Population","Measured Population","Area","55-59","60-64","65-69","70-74","75+","55-59 %","60-64 %","65-69 %","70-74 %","75+ %","Exposed to any noise %","Exposed to any noise % of total population","% measured popultaion"
"20","Netherlands",3.88,7.42,0.42,0.87,0.4,17131296,8259054,5005.72,1500900,1175000,570200,49796,581,18.1727834689058,14.2268109640644,6.90393839294428,0.602926194694937,0.00703470397457142,39.913493724584,19.2424262589357,48.2103280452337
"21","Norway",3.55,7.29,0.51,0.9,0.31,5276968,1524209,2478.36,289300,200500,141700,60200,5800,18.9803366861106,13.1543640012623,9.29662533156542,3.94958959040394,0.380525242929283,45.7614408522716,13.2178175042941,28.8841812192153
"22","Poland",2.3,3.34,0.2,0.6,0.32,37974826,10009194,5375.21,1944600,1447200,746200,239300,29200,19.4281377701341,14.4587066650921,7.45514573900756,2.39080189673614,0.291731781799813,44.0245238527698,11.6037398038374,26.3574453244368
"23","Portugal",4.81,8.78,0.46,0.96,0.3,10300300,1452607,284.32,194900,161500,120400,45600,9600,13.417256009368,11.1179417419853,8.28854604170295,3.13918355067819,0.660880747511199,36.6238080912456,5.16489810976379,14.1025698280633
"24","Romania",2.83,3.5,0.17,0.68,0.31,19588715,5915100,120840,1076600,828600,583400,230800,33300,18.2008757248398,14.0082162600801,9.86289327314838,3.90187824381667,0.562965968453619,46.5368294703386,14.0524786847938,30.1964677111286
"25","Slovakia",2.9,3.68,0.19,0.58,0.32,5439232,493734,444.42,112600,97100,57200,18700,9000,22.8058023146067,19.6664600776937,11.5851855452531,3.7874645051789,1.82284387949787,59.6677563222302,5.41620581729185,9.07727414458512
"26","Slovenia",3.39,3.65,0.2,0.59,0.32,2066388,380900,422.47,73600,69500,48500,11000,200,19.322656865319,18.2462588605933,12.7330007876083,2.8878970858493,0.0525072197427146,53.2423208191126,9.81422656345275,18.4331306608439
"27","Spain",5.11,5.89,0.65,1.02,0.29,46593236,8281377,2624.08,1709000,1601200,893200,280800,37000,20.6366646513013,19.3349487651631,10.785645913717,3.39074045294641,0.446785600993651,54.5947853841215,9.70355439574963,17.7737751462465
"28","Sweden",4.49,5.24,0.55,1.06,0.3,10057698,3367282,14938.34,620500,394100,187700,40200,3100,18.4273250651416,11.7038014636137,5.57422871027731,1.19384120486493,0.0920623814696839,36.9912588253672,12.3845436599906,33.4796491205045
"29","Switzerland",4.11,7.53,0.54,1.04,0.31,8451840,4240021,5873.6,1087300,778400,516300,171100,23400,25.6437409154341,18.3583996400018,12.176826482699,4.03535737205075,0.551884059064802,60.7662084692505,30.4844862183856,50.1668394101166
"30","United Kingdom",4.5,4.89,0.46,1.2,0.3,66058859,35713025,7830.97,4600900,1993900,1592500,1213100,158600,12.8829747690093,5.58311708403307,4.45915740825651,3.39679990703672,0.444095676577383,26.766144844913,14.4704285612926,54.062430899692
