Country,Agglomeration Name (in English),Population,Area,55-59,60-64,65-69,70-74,>75,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Sheffield,694000,162.24,78200,28000,21500,18800,1300,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Slough Urban Area,165000,30.57,56200,15500,7400,4000,500,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Southampton,342000,72.80,85500,25800,16800,11900,600,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Southend,294000,66.85,10800,5500,9000,6600,300,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Southport/Formby,115000,30.89,3100,4400,5000,1100,0,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,St Albans/Hatfield,140000,32.36,30900,7600,4900,2800,200,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Sunderland Urban Area,179000,39.83,9600,4900,4000,3000,100,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Swindon,172000,40.55,16100,4900,3100,2300,0,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Teesside,369000,114.32,22400,10500,6900,1700,0,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Telford Urban Area,140000,41.80,14500,4800,1800,300,100,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Thanet,130000,26.68,4000,2500,3400,3000,0,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,The Medway Towns Urban Area,250000,50.97,23100,9800,7600,5600,400,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,The Potteries,370000,96.62,30700,14200,14600,8800,400,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Torbay,113000,27.47,5000,2400,2500,3800,500,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Tyneside,909000,210.91,92000,34400,28200,18300,2900,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Warrington Urban Area,166000,43.55,51100,16100,6400,2800,100,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,West Midlands,2508000,599.72,415000,165200,105100,65600,5100,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,West Yorkshire,1636000,370.02,220300,87200,59600,43800,7500,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Wigan Urban Area,173000,39.02,34900,10300,7000,6100,500,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,York,160000,31.48,6200,3000,4000,3900,0,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,-1,-1,-1.00,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Belfast,597725,209.40,65700,47600,46100,23200,3100,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Aberdeen,209500,65.00,26900,29600,25200,8700,1000,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Dundee,157700,50.00,20700,21000,8200,1200,0,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Edinburgh,488600,123.00,58100,74500,75300,24800,300,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Glasgow,1101500,311.94,282100,202800,72700,10200,3100,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Cardiff,359000,77.40,47600,37700,36400,16300,1500,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Newport,148000,51.20,40000,21000,13600,3900,1100,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Swansea/Neath/Port Talbot,285000,98.20,52900,40300,30300,9900,1100,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
