Country,Agglomeration Name (in English),Population,Area,55-59,60-64,65-69,70-74,>75,,,,,,,,,,,,,,,,,,,,,,
France,Saint-Etienne,408700,723.50,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Saint-Nazaire,148300,280.92,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Saint-Pierre,146300,261.42,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Strasbourg,491500,337.61,110800,103100,58100,9800,300,,,,,,,,,,,,,,,,,,,,,,
France,Thionville,132700,137.40,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Torcy,228900,95.81,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Toulon,434400,366.41,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Toulouse,760100,458.16,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Tours,299100,389.16,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Trappes,231100,119.20,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Troyes,135000,151.24,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Valence,124200,164.16,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Valenciennes,360000,502.10,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
France,Versailles,269200,123.58,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,
Germany,Freiburg,219430,153.00,23000,12000,8400,4300,200,,,,,,,,,,,,,,,,,,,,,,
Germany,Heidelberg,145311,109.00,18100,10200,5900,2800,200,,,,,,,,,,,,,,,,,,,,,,
Germany,Heilbronn,121627,100.00,10500,8300,5400,1600,100,,,,,,,,,,,,,,,,,,,,,,
Germany,Karlsruhe,288917,173.00,28100,18200,12100,3400,100,,,,,,,,,,,,,,,,,,,,,,
Germany,Mannheim,309795,145.00,23600,16100,16200,6800,900,,,,,,,,,,,,,,,,,,,,,,
Germany,Pforzheim,119423,98.00,11200,7600,7900,7400,1300,,,,,,,,,,,,,,,,,,,,,,
Germany,Reutlingen,112458,87.00,7200,4900,2500,700,0,,,,,,,,,,,,,,,,,,,,,,
Germany,Stuttgart,581858,211.00,44300,31300,22200,9700,1400,,,,,,,,,,,,,,,,,,,,,,
Germany,Ulm,121434,119.00,7600,6300,4300,1800,0,,,,,,,,,,,,,,,,,,,,,,
Germany,Augsburg,266647,147.00,18000,15400,9700,1200,0,,,,,,,,,,,,,,,,,,,,,,
Germany,Erlangen,106326,77.00,16400,10800,5400,1400,100,,,,,,,,,,,,,,,,,,,,,,
Germany,Furth,116317,63.00,9200,7500,5900,1700,100,,,,,,,,,,,,,,,,,,,,,,
Germany,Ingolstadt,126732,133.00,25600,10800,4000,200,0,,,,,,,,,,,,,,,,,,,,,,
Germany,Munich,1378176,311.00,95000,69400,66400,21900,1500,,,,,,,,,,,,,,,,,,,,,,
Germany,Nuremberg,510602,187.00,43100,26400,23700,18300,2500,,,,,,,,,,,,,,,,,,,,,,
Germany,Regensburg,136577,81.00,14100,9000,5100,1200,0,,,,,,,,,,,,,,,,,,,,,,
Germany,Wurzburg,133808,88.00,16000,10000,5000,1800,500,,,,,,,,,,,,,,,,,,,,,,
Germany,Berlin,3460725,892.00,223200,170900,160700,104200,5500,,,,,,,,,,,,,,,,,,,,,,
Germany,Potsdam,161468,188.00,13100,10400,5700,1300,200,,,,,,,,,,,,,,,,,,,,,,
Germany,Bremen,549000,317.00,56300,34000,18500,4300,100,,,,,,,,,,,,,,,,,,,,,,
Germany,Bremerhaven,109000,94.00,8900,7300,6000,2500,0,,,,,,,,,,,,,,,,,,,,,,
Germany,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,
